paper,wave,book,module,concept,canonical_name,raw_name,unit,coding,missing_rule,question_or_label,source_codebook,source_page,availability_status,merge_role,verified_by,date_verified,notes
R3,3,NA,not located,housework hours,individual_housework_hours,__none_exact__,hours per week,not located,not applicable,no exact comparable variable found,local inventory,not_pageed,not_located,chores candidate,Stata audit,2026-09-05,do not substitute household transfer fields
R3,4,TK,b3a_tk1,housekeeping screen,individual_housekeeping_screen,tk01c,person response,raw activity code,retain raw code,housekeeping activity screen,local DTA labels,not_pageed,verified,chores candidate,Stata audit,2026-09-05,no compatible weekly hours
R3,5,TK,b3a_tk1,housekeeping screen,individual_housekeeping_screen,tk01c,person response,raw activity code,retain raw code,housekeeping activity screen,local DTA labels,not_pageed,verified,chores candidate,Stata audit,2026-09-05,no compatible weekly hours
R1,5,TK,b3a_tk1,adult employment,adult_employed,tk01,binary derived outcome,1=employed; valid TK01 codes 1 2 3 4 5 7 95,invalid observed codes and missing excluded,"primary activity",IFLS5_hh_codebooks/ifls2014_hhd_B3A.txt,not_pageed,verified,primary outcome,Stata audit,2026-09-05,W5 outcome family
R1,5,TK,b3a_tk2,adult earnings,net_salary_month,tk25a1;tk25a1x,monthly local currency,valid only TK25A1X==1 and 0<=TK25A1<999999997,invalid special and missing excluded,"salary wage last month job 1",IFLS5_hh_codebooks/ifls2014_hhd_B3A.txt,not_pageed,verified,primary outcome,Stata audit,2026-09-05,within-W5 only; no deflation
R1,5,TK,b3a_tk2,adult earnings,net_profit_month,tk26a1;tk26a1x,monthly local currency,valid TK26A1X 1 or 2 and 0<=TK26A1<999999999998,invalid special and missing excluded,"profit last month job 1",IFLS5_hh_codebooks/ifls2014_hhd_B3A.txt,not_pageed,verified,primary outcome,Stata audit,2026-09-05,signed profit retained; model uses ln(1+absolute value)
R1,5,TK,b3a_tk2,adult earnings,net_salary_year,tk25a2,annual local currency,raw survey coding,valid-code rule pending,"salary wage last year job 1",local DTA labels,not_pageed,verified,outcome candidate,Stata audit,2026-09-05,monetary harmonization pending
R1,5,KK,b3b_kk1,adult health,self_rated_health,kk01,ordinal response,1 very healthy 2 somewhat healthy 3 somewhat unhealthy 4 very unhealthy,valid only codes 1-4,general health,IFLS5_hh_codebooks/ifls2014_hhd_B3A.txt,not_pageed,verified,primary outcome,Stata audit,2026-09-05,higher derived score is better
R1,5,SW,b3a_sw,adult health,health_assessment,sw06,ordinal response,valid only codes 1-3,invalid and missing excluded,health status assessment,IFLS5_hh_codebooks/ifls2014_hhd_B3A.txt,not_pageed,verified,primary outcome,Stata audit,2026-09-05,kept as separate outcome
R1,5,US,bus_us,adult anthropometry,bmi_inputs,us04;us06,cm and kg,measured flags plus height 100-250 cm weight 20-250 kg BMI 10-80,invalid biological values excluded,height and weight,IFLS5_hh_codebooks/ifls2014_hhd_BUS.txt,not_pageed,verified,primary outcome,Stata audit,2026-09-05,derive BMI after measurement checks
R1,5,CD,b3b_cd2,adult listed condition,adult_any_listed_condition,cd01,condition response,yes=1 no=3 DK=8; collapse repeated conditions to person,DK and invalid patterns excluded,doctor diagnosed listed condition,IFLS5_hh_codebooks/ifls2014_hhd_B3B.txt,not_pageed,verified,primary outcome,Stata audit,2026-09-05,not labelled generic chronic disease
R1,5,DL,b3a_dl1,adult education,adult_college,dl06,education category,valid categories retained; college/university codes 60-63,invalid and missing excluded,highest education level,IFLS5_hh_codebooks/ifls2014_hhd_B3A.txt,not_pageed,verified,primary outcome,Stata audit,2026-09-05,grade raw retained outside first-pass family
R1,5,KM,b3b_km,adult smoking,adult_current_smoker,km01a;km01e;km04,person response,explicit cigarette history and current-use recode,missing or unsupported response excluded,tobacco and cigarette history,IFLS5_hh_codebooks/ifls2014_hhd_B3B.txt,not_pageed,verified,primary outcome,Stata audit,2026-09-05,not a generic tobacco-use index
R1,5,TR,b3a_tr,adult trust,social_trust_candidates,tr01;tr02;tr03;tr04;tr05;tr06,ordinal response,valid each item 1-4 and reverse score 5-item,invalid and missing excluded,village trust and safety items,IFLS5_hh_codebooks/ifls2014_hhd_B3A.txt,not_pageed,verified,primary outcome,Stata audit,2026-09-05,items kept separate; no validated composite claimed
R1,5,PK,b3a_pk1,adult marriage,marriage_status,pk00a,binary response,1 married/cohabiting 3 not married,invalid and missing excluded,current marital status,IFLS5_hh_codebooks/ifls2014_hhd_B3A.txt,not_pageed,verified,primary outcome,Stata audit,2026-09-05,marriage-history fields not used in first pass
R1,5,VG,b3b_vg,adult mental health,mental_health_symptom,vg05a,person response,raw symptom item,retain missing module,problem with depression last month,local inventory,not_pageed,file_missing,outcome candidate,Stata audit,2026-09-05,W5 module absent in local extraction; do not call CES-D-10
R1,1,PCE,pce93nom,household PCE,nominal_pce_per_capita,pce,monthly local currency,derived historical file,source-specific missing rule,monthly household per-capita expenditure,local PCE file,not_pageed,verified,candidate control/outcome,Stata audit,2026-09-05,no W1 real output audited
R1,2,PCE,pce97,household PCE,real_pce_components,rtotal;rfood;rnonfood,monthly real local currency,derived historical file,source-specific missing rule,real household expenditure components,local PCE file,not_pageed,verified,candidate control/outcome,Stata audit,2026-09-05,base and spatial rule documented separately
R1,3,PCE,pce00,household PCE,real_pce_components,rtotal;rfood;rnonfood,monthly real local currency,derived historical file,source-specific missing rule,real household expenditure components,local PCE file,not_pageed,verified,candidate control/outcome,Stata audit,2026-09-05,base and spatial rule documented separately
R1,4,PCE,pce07nom,household PCE,nominal_pce_file,pce07nom,monthly local currency,nominal derived file,source-specific missing rule,nominal PCE output file,local PCE file,not_pageed,verified,candidate control/outcome,Stata audit,2026-09-05,real W4 output not identified in local audit
ALL,2-5,tracking/SC,ptrack;htrack;bk_sc,survey design,weight_and_geography_candidates,pwt97l;hwt97l;sc01;sc05,person or household weight and geography,raw candidate fields,design rule pending,weight geography and urban-rural candidates,local DTA labels,not_pageed,verified,survey design,Stata audit,2026-09-05,PSU stratum target population and svyset remain open
