cohort_definition,treatment_wave,treatment_age_low,treatment_age_high,outcome_wave,outcome_age_low,outcome_age_high,eligible_for_primary,reason,source_or_calculation
R3_W1_EXTENSION,1,12,14,4,17,21,not_supported_by_current_frame,no observed treatment-age or linked outcome-age support in current spine/module frame,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W1_EXTENSION,1,12,14,4,22,25,not_supported_by_current_frame,no observed treatment-age or linked outcome-age support in current spine/module frame,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W1_EXTENSION,1,12,14,4,26,29,secondary_extension_parked,W1 extension is registered by the timeline but parked for first-pass estimation,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W1_EXTENSION,1,12,14,4,30,33,not_supported_by_current_frame,no observed treatment-age or linked outcome-age support in current spine/module frame,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W1_EXTENSION,1,12,14,4,34,36,not_supported_by_current_frame,no observed treatment-age or linked outcome-age support in current spine/module frame,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W1_EXTENSION,1,12,14,5,17,21,not_supported_by_current_frame,no observed treatment-age or linked outcome-age support in current spine/module frame,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W1_EXTENSION,1,12,14,5,22,25,not_supported_by_current_frame,no observed treatment-age or linked outcome-age support in current spine/module frame,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W1_EXTENSION,1,12,14,5,26,29,not_supported_by_current_frame,no observed treatment-age or linked outcome-age support in current spine/module frame,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W1_EXTENSION,1,12,14,5,30,33,not_supported_by_current_frame,no observed treatment-age or linked outcome-age support in current spine/module frame,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W1_EXTENSION,1,12,14,5,34,36,secondary_extension_parked,W1 extension is registered by the timeline but parked for first-pass estimation,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W1_EXTENSION,1,15,15,4,17,21,not_supported_by_current_frame,no observed treatment-age or linked outcome-age support in current spine/module frame,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W1_EXTENSION,1,15,15,4,22,25,not_supported_by_current_frame,no observed treatment-age or linked outcome-age support in current spine/module frame,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W1_EXTENSION,1,15,15,4,26,29,secondary_extension_parked,W1 extension is registered by the timeline but parked for first-pass estimation,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W1_EXTENSION,1,15,15,4,30,33,secondary_extension_parked,W1 extension is registered by the timeline but parked for first-pass estimation,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W1_EXTENSION,1,15,15,4,34,36,not_supported_by_current_frame,no observed treatment-age or linked outcome-age support in current spine/module frame,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W1_EXTENSION,1,15,15,5,17,21,not_supported_by_current_frame,no observed treatment-age or linked outcome-age support in current spine/module frame,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W1_EXTENSION,1,15,15,5,22,25,not_supported_by_current_frame,no observed treatment-age or linked outcome-age support in current spine/module frame,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W1_EXTENSION,1,15,15,5,26,29,not_supported_by_current_frame,no observed treatment-age or linked outcome-age support in current spine/module frame,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W1_EXTENSION,1,15,15,5,30,33,not_supported_by_current_frame,no observed treatment-age or linked outcome-age support in current spine/module frame,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W1_EXTENSION,1,15,15,5,34,36,secondary_extension_parked,W1 extension is registered by the timeline but parked for first-pass estimation,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W2_PRIMARY_CANDIDATE,2,10,11,4,17,21,not_supported_by_current_frame,no observed treatment-age or linked outcome-age support in current spine/module frame,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W2_PRIMARY_CANDIDATE,2,10,11,4,22,25,not_supported_by_current_frame,no observed treatment-age or linked outcome-age support in current spine/module frame,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W2_PRIMARY_CANDIDATE,2,10,11,4,26,29,not_supported_by_current_frame,no observed treatment-age or linked outcome-age support in current spine/module frame,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W2_PRIMARY_CANDIDATE,2,10,11,4,30,33,not_supported_by_current_frame,no observed treatment-age or linked outcome-age support in current spine/module frame,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W2_PRIMARY_CANDIDATE,2,10,11,4,34,36,not_supported_by_current_frame,no observed treatment-age or linked outcome-age support in current spine/module frame,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W2_PRIMARY_CANDIDATE,2,10,11,5,17,21,not_supported_by_current_frame,no observed treatment-age or linked outcome-age support in current spine/module frame,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W2_PRIMARY_CANDIDATE,2,10,11,5,22,25,not_supported_by_current_frame,no observed treatment-age or linked outcome-age support in current spine/module frame,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W2_PRIMARY_CANDIDATE,2,10,11,5,26,29,not_supported_by_current_frame,no observed treatment-age or linked outcome-age support in current spine/module frame,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W2_PRIMARY_CANDIDATE,2,10,11,5,30,33,not_supported_by_current_frame,no observed treatment-age or linked outcome-age support in current spine/module frame,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W2_PRIMARY_CANDIDATE,2,10,11,5,34,36,not_supported_by_current_frame,no observed treatment-age or linked outcome-age support in current spine/module frame,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W2_PRIMARY_CANDIDATE,2,12,14,4,17,21,not_supported_by_current_frame,no observed treatment-age or linked outcome-age support in current spine/module frame,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W2_PRIMARY_CANDIDATE,2,12,14,4,22,25,candidate_pending_review,age/module support only; primary cohort and outcome wave remain owner decisions,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W2_PRIMARY_CANDIDATE,2,12,14,4,26,29,candidate_pending_review,age/module support only; primary cohort and outcome wave remain owner decisions,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W2_PRIMARY_CANDIDATE,2,12,14,4,30,33,not_supported_by_current_frame,no observed treatment-age or linked outcome-age support in current spine/module frame,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W2_PRIMARY_CANDIDATE,2,12,14,4,34,36,not_supported_by_current_frame,no observed treatment-age or linked outcome-age support in current spine/module frame,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W2_PRIMARY_CANDIDATE,2,12,14,5,17,21,not_supported_by_current_frame,no observed treatment-age or linked outcome-age support in current spine/module frame,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W2_PRIMARY_CANDIDATE,2,12,14,5,22,25,not_supported_by_current_frame,no observed treatment-age or linked outcome-age support in current spine/module frame,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W2_PRIMARY_CANDIDATE,2,12,14,5,26,29,candidate_pending_review,age/module support only; primary cohort and outcome wave remain owner decisions,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W2_PRIMARY_CANDIDATE,2,12,14,5,30,33,candidate_pending_review,age/module support only; primary cohort and outcome wave remain owner decisions,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W2_PRIMARY_CANDIDATE,2,12,14,5,34,36,not_supported_by_current_frame,no observed treatment-age or linked outcome-age support in current spine/module frame,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W2_PRIMARY_CANDIDATE,2,15,15,4,17,21,candidate_pending_review,age/module support only; primary cohort and outcome wave remain owner decisions,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W2_PRIMARY_CANDIDATE,2,15,15,4,22,25,candidate_pending_review,age/module support only; primary cohort and outcome wave remain owner decisions,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W2_PRIMARY_CANDIDATE,2,15,15,4,26,29,candidate_pending_review,age/module support only; primary cohort and outcome wave remain owner decisions,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W2_PRIMARY_CANDIDATE,2,15,15,4,30,33,candidate_pending_review,age/module support only; primary cohort and outcome wave remain owner decisions,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W2_PRIMARY_CANDIDATE,2,15,15,4,34,36,not_supported_by_current_frame,no observed treatment-age or linked outcome-age support in current spine/module frame,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W2_PRIMARY_CANDIDATE,2,15,15,5,17,21,not_supported_by_current_frame,no observed treatment-age or linked outcome-age support in current spine/module frame,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W2_PRIMARY_CANDIDATE,2,15,15,5,22,25,candidate_pending_review,age/module support only; primary cohort and outcome wave remain owner decisions,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W2_PRIMARY_CANDIDATE,2,15,15,5,26,29,not_supported_by_current_frame,no observed treatment-age or linked outcome-age support in current spine/module frame,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W2_PRIMARY_CANDIDATE,2,15,15,5,30,33,candidate_pending_review,age/module support only; primary cohort and outcome wave remain owner decisions,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W2_PRIMARY_CANDIDATE,2,15,15,5,34,36,candidate_pending_review,age/module support only; primary cohort and outcome wave remain owner decisions,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W3_PRIMARY_CANDIDATE,3,10,11,4,17,21,not_supported_by_current_frame,no observed treatment-age or linked outcome-age support in current spine/module frame,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W3_PRIMARY_CANDIDATE,3,10,11,4,22,25,not_supported_by_current_frame,no observed treatment-age or linked outcome-age support in current spine/module frame,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W3_PRIMARY_CANDIDATE,3,10,11,4,26,29,not_supported_by_current_frame,no observed treatment-age or linked outcome-age support in current spine/module frame,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W3_PRIMARY_CANDIDATE,3,10,11,4,30,33,not_supported_by_current_frame,no observed treatment-age or linked outcome-age support in current spine/module frame,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W3_PRIMARY_CANDIDATE,3,10,11,4,34,36,not_supported_by_current_frame,no observed treatment-age or linked outcome-age support in current spine/module frame,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W3_PRIMARY_CANDIDATE,3,10,11,5,17,21,not_supported_by_current_frame,no observed treatment-age or linked outcome-age support in current spine/module frame,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W3_PRIMARY_CANDIDATE,3,10,11,5,22,25,not_supported_by_current_frame,no observed treatment-age or linked outcome-age support in current spine/module frame,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W3_PRIMARY_CANDIDATE,3,10,11,5,26,29,not_supported_by_current_frame,no observed treatment-age or linked outcome-age support in current spine/module frame,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W3_PRIMARY_CANDIDATE,3,10,11,5,30,33,not_supported_by_current_frame,no observed treatment-age or linked outcome-age support in current spine/module frame,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W3_PRIMARY_CANDIDATE,3,10,11,5,34,36,not_supported_by_current_frame,no observed treatment-age or linked outcome-age support in current spine/module frame,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W3_PRIMARY_CANDIDATE,3,12,14,4,17,21,candidate_pending_review,age/module support only; primary cohort and outcome wave remain owner decisions,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W3_PRIMARY_CANDIDATE,3,12,14,4,22,25,candidate_pending_review,age/module support only; primary cohort and outcome wave remain owner decisions,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W3_PRIMARY_CANDIDATE,3,12,14,4,26,29,not_supported_by_current_frame,no observed treatment-age or linked outcome-age support in current spine/module frame,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W3_PRIMARY_CANDIDATE,3,12,14,4,30,33,not_supported_by_current_frame,no observed treatment-age or linked outcome-age support in current spine/module frame,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W3_PRIMARY_CANDIDATE,3,12,14,4,34,36,not_supported_by_current_frame,no observed treatment-age or linked outcome-age support in current spine/module frame,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W3_PRIMARY_CANDIDATE,3,12,14,5,17,21,not_supported_by_current_frame,no observed treatment-age or linked outcome-age support in current spine/module frame,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W3_PRIMARY_CANDIDATE,3,12,14,5,22,25,not_supported_by_current_frame,no observed treatment-age or linked outcome-age support in current spine/module frame,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W3_PRIMARY_CANDIDATE,3,12,14,5,26,29,candidate_pending_review,age/module support only; primary cohort and outcome wave remain owner decisions,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W3_PRIMARY_CANDIDATE,3,12,14,5,30,33,not_supported_by_current_frame,no observed treatment-age or linked outcome-age support in current spine/module frame,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W3_PRIMARY_CANDIDATE,3,12,14,5,34,36,not_supported_by_current_frame,no observed treatment-age or linked outcome-age support in current spine/module frame,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W3_PRIMARY_CANDIDATE,3,15,15,4,17,21,candidate_pending_review,age/module support only; primary cohort and outcome wave remain owner decisions,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W3_PRIMARY_CANDIDATE,3,15,15,4,22,25,candidate_pending_review,age/module support only; primary cohort and outcome wave remain owner decisions,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W3_PRIMARY_CANDIDATE,3,15,15,4,26,29,candidate_pending_review,age/module support only; primary cohort and outcome wave remain owner decisions,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W3_PRIMARY_CANDIDATE,3,15,15,4,30,33,not_supported_by_current_frame,no observed treatment-age or linked outcome-age support in current spine/module frame,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W3_PRIMARY_CANDIDATE,3,15,15,4,34,36,not_supported_by_current_frame,no observed treatment-age or linked outcome-age support in current spine/module frame,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W3_PRIMARY_CANDIDATE,3,15,15,5,17,21,candidate_pending_review,age/module support only; primary cohort and outcome wave remain owner decisions,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W3_PRIMARY_CANDIDATE,3,15,15,5,22,25,candidate_pending_review,age/module support only; primary cohort and outcome wave remain owner decisions,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W3_PRIMARY_CANDIDATE,3,15,15,5,26,29,candidate_pending_review,age/module support only; primary cohort and outcome wave remain owner decisions,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W3_PRIMARY_CANDIDATE,3,15,15,5,30,33,candidate_pending_review,age/module support only; primary cohort and outcome wave remain owner decisions,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W3_PRIMARY_CANDIDATE,3,15,15,5,34,36,candidate_pending_review,age/module support only; primary cohort and outcome wave remain owner decisions,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
