date,paper,decision_id,topic,decision,alternative_rejected,reason,evidence_path,n_affected,status,locked_before_outcome,owner
2026-09-05,ALL,D-030,survey_design,"Primary is unweighted conditional association with robust VCE clustered at the estimand-specific household; official weights/PSU/strata/svyset are sensitivity only after target-population crosswalk","Copy a generic weight, PSU, or geography variable across waves","The local audit found candidates but no complete official design specification","99_docs/decision_defaults_2026-09-05.md",,locked_conservative_default,yes,project_owner
2026-09-05,ALL,D-031,monetary_harmonization,"Household PCE and cross-wave monetary comparison are omitted from primary; W5 earnings are within-wave only; PCE and NPV remain parked","Assume historical PCE is comparable through W5","W5 PCE output is not identified and historical bases are incomplete","99_docs/decision_defaults_2026-09-05.md",,locked_conservative_default,yes,project_owner
2026-09-05,ALL,D-032,adult_outcome_window,"Primary outcomes are separate W5 outcome families for adults age 17-36; W4 is supplementary; incomplete mental-health candidates are not labelled CES-D-10","Switch the outcome family or window after seeing coefficients","W5 module coverage differs and b3b_vg is absent locally","99_docs/decision_defaults_2026-09-05.md",,locked_conservative_default,yes,project_owner
2026-09-05,R1,D-033,roster_anomalies,"Ambiguous multi-resident, HHID mismatch, and unresolved lineage cases are excluded from primary and retained as flagged sensitivity cases","Silently assign the ambiguous person to a household","The shared-spine gate passes keys but reports unresolved roster anomalies","99_docs/decision_defaults_2026-09-05.md",,locked_conservative_default,yes,project_owner
2026-09-05,R1,D-040,imdi_missingness,"The 14-item IMDI is not primary; outcome-specific listwise is primary; a reduced index is supplementary only after indicator and missingness audit; MICE is sensitivity","Promote MICE or an incomplete IMDI to primary","Several proposed IMDI/mental-health/PCE components are not fully supported locally","99_docs/decision_defaults_2026-09-05.md",,locked_conservative_default,yes,project_owner
2026-09-05,ALL,D-041,multiple_testing,"Apply Benjamini-Hochberg within each predeclared outcome family","Correct across an unstructured set of all outcomes","Family-level control preserves the research questions and prevents post-result grouping","99_docs/decision_defaults_2026-09-05.md",,locked_conservative_default,yes,project_owner
2026-09-05,ALL,D-042,interpretation_boundary,"All first-pass coefficients are adjusted associations; causal wording, IV, mediation, PSM/IPW, Heckman, FE, NPV, and national aggregation are parked","Describe first-pass coefficients as causal effects","Identification and extrapolation gates are not yet passed","99_docs/decision_defaults_2026-09-05.md",,locked_conservative_default,yes,project_owner
2026-09-04,ALL,D-050,npv_scope,"NPV is post-first-pass and scenario-only until earnings model, support, rates, and headcount are verified","Report a national loss number in the first pass","Supplied timeline parks valuation","99_docs/primary_specification_lock.md",,locked,yes,project_owner
2026-09-05,ALL,D-043,model_support_gate,"A model requires at least 10 treated observations 5 treated clusters and 20 controls; below-gate outcomes remain non-inferential","Broaden the sample or lower the gate after seeing support","R1 profit has 4 treated observations and is explicitly labelled support_below_gate","04_output/tables/first_pass_model_results.csv",,locked,yes,analyst
2026-09-05,ALL,D-044,first_pass_technical_gate,"Codebook recodes merges uniqueness sample flow and model metadata pass through the canonical Stata chain","Treat a successful command exit as sufficient evidence","30_final_quality_gate reports all analysis contracts pass","04_output/diagnostics/final_quality_gate.csv",,locked,yes,analyst
2026-09-05,ALL,D-045,first_pass_interpretation,"Results are adjusted associations with outcome-specific listwise deletion and BH q-values within paper-by-family","Use causal effect wording or national-loss wording","Identification and survey-provenance gates remain outside the first-pass release","99_docs/first_pass_result_memo_2026-09-05.md",,locked,yes,project_owner
